Data;Dosi administrada 1;Dosi administrada 2
24/5/21;3911;5546
23/5/21;4683;9048
22/5/21;14494;9557
21/5/21;35789;41099
20/5/21;56242;10647
19/5/21;58601;7945
18/5/21;55150;11981
17/5/21;27324;3410
16/5/21;14367;6
15/5/21;23504;185
14/5/21;56168;23676
13/5/21;59615;24518
12/5/21;57681;18380
11/5/21;51369;13286
10/5/21;39025;2675
9/5/21;14136;6
8/5/21;21215;222
7/5/21;55854;31637
6/5/21;35340;48667
5/5/21;37253;52113
4/5/21;41058;32844
3/5/21;44885;1733
2/5/21;10395;7
1/5/21;19129;134
30/4/21;51239;45018
29/4/21;24030;55708
28/4/21;21493;58118
27/4/21;29728;25580
26/4/21;24998;2229
25/4/21;1033;29
24/4/21;2118;532
23/4/21;37180;8878
22/4/21;37766;38328
21/4/21;27317;49499
20/4/21;26514;32387
19/4/21;11496;2344
18/4/21;395;1
17/4/21;2233;42
16/4/21;49310;14755
15/4/21;68301;11956
14/4/21;69806;8178
13/4/21;52468;3693
12/4/21;21122;455
11/4/21;1146;5
10/4/21;4427;19
9/4/21;56057;5363
8/4/21;69575;3621
7/4/21;81895;4324
6/4/21;46718;2246
5/4/21;17418;7
4/4/21;12605;0
3/4/21;15014;358
2/4/21;6990;278
1/4/21;51043;7241
31/3/21;72975;11031
30/3/21;62422;6941
29/3/21;25216;1505
28/3/21;4567;1
27/3/21;14913;331
26/3/21;34123;13133
25/3/21;33944;19764
24/3/21;25276;23528
23/3/21;4888;12316
22/3/21;2858;2417
21/3/21;1;0
20/3/21;105;880
19/3/21;4093;23480
18/3/21;2915;29069
17/3/21;2103;29333
16/3/21;904;15200
15/3/21;7563;3817
14/3/21;158;55
13/3/21;1765;897
12/3/21;12476;13149
11/3/21;13920;10649
10/3/21;20092;5989
9/3/21;14858;5489
8/3/21;10708;4963
7/3/21;1109;332
6/3/21;2906;1825
5/3/21;22211;7862
4/3/21;31020;2157
3/3/21;29214;1337
2/3/21;17766;1012
1/3/21;5838;762
28/2/21;552;28
27/2/21;2505;114
26/2/21;30631;1547
25/2/21;39713;1018
24/2/21;40711;1045
23/2/21;27251;1376
22/2/21;13076;1803
21/2/21;324;21
20/2/21;1382;676
19/2/21;19015;3058
18/2/21;17491;1663
17/2/21;15044;1613
16/2/21;9115;1577
15/2/21;8713;3450
14/2/21;385;376
13/2/21;2443;2792
12/2/21;15198;7089
11/2/21;13300;5761
10/2/21;10048;6852
9/2/21;3141;9999
8/2/21;2356;7700
7/2/21;268;695
6/2/21;619;3512
5/2/21;1527;16748
4/2/21;1123;12107
3/2/21;627;14077
2/2/21;759;11794
1/2/21;1614;9876
31/1/21;490;3879
30/1/21;839;7575
29/1/21;1423;16665
28/1/21;1353;13723
27/1/21;1187;5395
26/1/21;1495;9123
25/1/21;3183;2187
24/1/21;554;302
23/1/21;2682;1188
22/1/21;5116;1832
21/1/21;2882;1519
20/1/21;2670;1633
19/1/21;3383;476
18/1/21;11786;229
17/1/21;2341;147
16/1/21;4496;0
15/1/21;15853;0
14/1/21;14528;0
13/1/21;14594;0
12/1/21;15985;0
11/1/21;10918;0
10/1/21;4706;0
9/1/21;9120;0
8/1/21;19302;0
7/1/21;16687;0
6/1/21;3186;0
5/1/21;13378;0
4/1/21;3108;0
3/1/21;4;0
2/1/21;2015;0
1/1/21;3;0
31/12/20;2589;0
30/12/20;2608;0
29/12/20;450;0
28/12/20;1;0
27/12/20;804;0